planet,planet_mass_mjup,planet_radius_rjup,planet_temperature_K,star_name,star_distance_AU,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K
Kepler-1707 b,0.5,,,Kepler-1707,,0.966,0.894,,5459
Kepler-1708 b,4.6,0.8886,,Kepler-1708,1.64,1.088,1.117,3.16,6157
Kepler-1709 b,,0.27871,454,Kepler-1709,0.3192,1.039,1.135,2.2,5789.91
Kepler-170 b,,0.285,,Kepler-170,0.08,,1.03,,5679
Kepler-170 c,,0.255,,Kepler-170,0.131,,1.03,,5679
Kepler-1710 b,0.010997,0.2308,694,Kepler-1710,0.1157,0.983,0.91,9.1,5572
Kepler-1711 b,,0.17156,669,Kepler-1711,0.1463,1.034,1.09,6.6,5745.26
Kepler-1712 b,,0.20368,391,Kepler-1712,0.0903,0.574,0.583,13.8,3833
Kepler-1713 b,,0.153155,900,Kepler-1713,0.1469,1.25,1.453,1.45,6334.8
Kepler-1714 b,,0.2912,1211,Kepler-1714,0.1047,1.14,2.156,3.05,6088.22
Kepler-1715 b,,0.3693,613,Kepler-1715,0.2178,1.12,1.479,0.82,6033.33
Kepler-1716 b,,0.216319,408,Kepler-1716,0.1916,0.779,0.701,7.9,4813.46
Kepler-1717 b,,0.26666,780,Kepler-1717,0.2014,1.37,1.517,0.33,6591.89
Kepler-1718 b,,0.2291,345,Kepler-1718,0.4878,1.053,0.933,10.4,5839.24
Kepler-1719 b,,0.3524,1287,Kepler-1719,0.0674,1.03,1.843,7.7,5752.63
Kepler-171 b,,0.209,,Kepler-171,0.05,,0.84,,5642
Kepler-171 c,,0.228,,Kepler-171,0.098,,0.84,,5642
Kepler-171 d,,0.169,,Kepler-171,0.223,,0.84,,5642
Kepler-1720 b,,0.286897,697,Kepler-1720,0.1043,0.92,0.793,0.5,5340
Kepler-1721 b,,0.27817,924,Kepler-1721,0.0519,0.87,0.78,0.7,5168
Kepler-1722 b,,0.25578,753,Kepler-1722,0.0819,0.94,0.9377,1.4,5406
Kepler-1723 b,,0.2569,568,Kepler-1723,0.2249,1.01,1.079,3.3,5665.31
Kepler-1724 b,,0.253075,999,Kepler-1724,0.0683,1.02,1.083,0.3,5726
Kepler-1725 b,,0.25087,767,Kepler-1725,0.1301,1.17,1.103,0.89,6161
Kepler-1726 b,,0.223804,582,Kepler-1726,0.1306,0.92,0.7638,10.9,5338
Kepler-1727 b,,0.28308,757,Kepler-1727,0.0796,0.91,0.889,9.7,5298.27
Kepler-1728 b,,0.26363,886,Kepler-1728,0.0535,0.83,0.818,12.8,5021
Kepler-1729 b,,0.3474,600,Kepler-1729,0.0418,0.69,0.796,1.2,4414
Kepler-172 b,,0.21,,Kepler-172,0.04,0.86,1.08,,5526
Kepler-172 c,,0.255,,Kepler-172,0.068,0.86,1.08,,5526
Kepler-172 d,,0.201,,Kepler-172,0.118,0.86,1.08,,5526
Kepler-172 e,,0.246,,Kepler-172,0.211,0.86,1.08,,5526
Kepler-1730 b,,0.40013,833,Kepler-1730,0.1131,0.99,1.158,7.4,5598
Kepler-1731 b,,0.261658,486,Kepler-1731,0.1401,0.808,0.6891,13.9,4923.57
Kepler-1732 b,,0.36569,699,Kepler-1732,0.2015,1.05,1.373,2,5838.73
Kepler-1733 b,,0.324367,1021,Kepler-1733,0.0933,1.23,1.387,0.2,6276.71
Kepler-1734 b,,0.2755,985,Kepler-1734,0.0714,1.08,1.125,0.3,5910.67
Kepler-1735 b,,0.10652,502,Kepler-1735,0.0621,0.552,0.558,14,3888
Kepler-1736 b,,0.34585,566,Kepler-1736,0.2188,1.04,1.571,1.7,5804.06
Kepler-1737 b,,0.48131,383,Kepler-1737,0.297,0.834,0.881,13.7,5043
Kepler-1738 b,,0.25194,957,Kepler-1738,0.0781,1.02,1.018,0.3,5703
Kepler-1739 b,,0.2168,839,Kepler-1739,0.0697,1.02,0.8717,0.4,5703
Kepler-173 b,,0.115,,Kepler-173,0.048,0.78,0.95,,6031
Kepler-173 c,,0.217,,Kepler-173,0.074,0.78,0.95,,6031
Kepler-1740 b,,0.29646,858,Kepler-1740,0.0779,1.02,0.931,,5714.58
Kepler-1741 b,,0.11357,615,Kepler-1741,0.0296,0.591,0.54,,3842.11
Kepler-1742 b,,0.19431,462,Kepler-1742,0.2587,0.99,0.865,0.5,5582
Kepler-1743 b,,0.142637,1144,Kepler-1743,0.0822,1,2.0998,5.1,5624.37
Kepler-1744 b,,0.33607,532,Kepler-1744,0.2093,1,0.941,,5623.54
Kepler-1745 b,,0.17201,1449,Kepler-1745,0.0408,0.98,1.08087,2.1,5572.72
Kepler-1746 b,,0.797,310,Kepler-1746,0.9453,1.22,1.499,,6270.99
Kepler-1747 b,,0.3805,875,Kepler-1747,0.066,0.88,0.982,0.7,5174
Kepler-1748 b,,0.242013,955,Kepler-1748,0.0615,0.93,0.77,,5376
Kepler-1749 b,,0.1439,420,Kepler-1749,0.0956,0.66,0.621,13.9,4238.82
Kepler-174 b,,0.175,,Kepler-174,0.1,,0.62,,4880
Kepler-174 c,,0.133,,Kepler-174,0.214,,0.62,,4880
Kepler-174 d,,0.195,,Kepler-174,0.677,,0.62,,4880
Kepler-1750 b,,0.53565,298,Kepler-1750,0.6785,0.96,1.193,0.5,5474
Kepler-1751,,0.16273,984,Kepler-1751,0.0712,1.02,1.057,1.9,5732
Kepler-1752 b,,0.405,419,Kepler-1752,0.2698,0.89,0.7748,7.2,5214
Kepler-1753 b,,0.20225,583,Kepler-1753,0.1179,0.83,0.697,6.2,5007
Kepler-1754 b,,0.2177,672,Kepler-1754,0.0718,0.72,0.794,,4553
Kepler-1755 b,,0.5278729,631,Kepler-1755,0.1668,1.2,1.176,0.3,6229
Kepler-1756 b,,0.13132,1083,Kepler-1756,0.0319,0.781,0.812,13.7,4915
Kepler-1757 b,,0.26288,549,Kepler-1757,0.1335,0.87,0.822,0.7,5146
Kepler-1758 b,,0.2293,1028,Kepler-1758,0.0919,1.1,1.621,0.4,5995
Kepler-1759 b,,0.080623,954,Kepler-1759,0.0429,0.796,0.732,13.8,4878
Kepler-175 b,,0.228,,Kepler-175,0.105,1.04,1.01,,6064
Kepler-175 c,,0.277,,Kepler-175,0.213,1.04,1.01,,6064
Kepler-1760 b,,0.204293,480,Kepler-1760,0.2084,0.821,0.903,0.6,5229
Kepler-1761 b,,0.1241,613,Kepler-1761,0.0413,0.587,0.5992,13.9,3802
Kepler-1762 b,,0.2462,714,Kepler-1762,0.204,1.19,1.27,0.28,6198
Kepler-1763 b,,0.102285,1822,Kepler-1763,0.0257,1.1,1.281,5.4,5969.97
Kepler-1764 b,,0.40637,511,Kepler-1764,,1.14,1.45,0.24,6085.02
Kepler-1765 b,,0.22259,855,Kepler-1765,0.0917,1.006,0.887,11.9,5665
Kepler-1766 b,,0.20332,406,Kepler-1766,0.4229,1.039,1.2159,7.3,5788.86
Kepler-1767 b,,0.268795,393,Kepler-1767,0.2873,0.88,0.697,0.6,5172.78
Kepler-1768 b,,0.19922,933,Kepler-1768,0.1286,1.22,1.1816,,6264
Kepler-1769 b,,0.39834,483,Kepler-1769,0.3987,1.18,1.12,2.67,6173
Kepler-176 b,,0.128,,Kepler-176,0.058,,0.89,,5232
Kepler-176 c,,0.232,,Kepler-176,0.102,,0.89,,5232
Kepler-176 d,,0.224,,Kepler-176,0.163,,0.89,,5232
Kepler-176 e,,0.129,,Kepler-176,,,0.89,,5232
Kepler-1770 b,,0.25346,699,Kepler-1770,0.1261,0.97,0.859,12.3,5520
Kepler-1771 b,,0.36177,391,Kepler-1771,0.3815,0.941,0.934,0.8,5661
Kepler-1772 b,,0.23963,1155,Kepler-1772,0.0418,0.99,1.8411,5.1,5582
Kepler-1773 b,,0.31267,623,Kepler-1773,0.2489,1.16,1.41,2.91,6136
Kepler-1774 b,,0.28379,522,Kepler-1774,0.3096,1.09,1.174,2.5,5942.35
Kepler-1775 b,,0.32537,522,Kepler-1775,0.3986,1.08,1.266,0.4,5910.19
Kepler-1776 b,,0.232984,602,Kepler-1776,0.2142,1.09,1.132,0.6,5961.17
Kepler-1777 b,,0.19012,819,Kepler-1777,0.1031,0.99,1.0225,3.1,5600.06
Kepler-1778 b,,0.269125,942,Kepler-1778,0.0956,1.06,1.08,0.3,5875
Kepler-1779 b,,0.270579,730,Kepler-1779,0.1264,1.02,0.963,0.6,5714
Kepler-177 b,0.01837,0.312,,Kepler-177,,0.92,1.32,,5732
Kepler-177 c,0.04625,0.779,,Kepler-177,,0.92,1.32,,5732
Kepler-1780 b,,0.32171,340,Kepler-1780,0.4276,0.93,0.895,0.6,5385.22
Kepler-1781 b,,0.2123,1003,Kepler-1781,0.0574,0.88,0.816,0.9,5190
Kepler-1782 b,,0.19886,773,Kepler-1782,0.0582,0.79,0.741,14,4867
Kepler-1783 b,,0.11771,1088,Kepler-1783,0.077,0.859,0.7588,13.9,5111.02
Kepler-1784 b,,0.249739,724,Kepler-1784,0.1072,0.96,0.966,13.8,5475
Kepler-1785 b,,0.24124,666,Kepler-1785,0.1379,1.02,1.0169,0.3,5734
Kepler-1786 b,,0.28219,501,Kepler-1786,0.3659,1.02,1.22294,0.5,5718.47
Kepler-1787 b,,0.20688,540,Kepler-1787,0.227,1.04,0.881,0.3,5808
Kepler-1788 b,,0.212197,956,Kepler-1788,0.0343,0.74,0.756,13.8,4670
Kepler-1789 b,,0.252594,380,Kepler-1789,0.3543,0.96,0.845,4.5,5495
Kepler-178 b,,0.259,,Kepler-178,0.085,,1.07,,5676
Kepler-178 c,,0.257,,Kepler-178,0.142,,1.07,,5676
Kepler-178 d,,0.352,,Kepler-178,0.397,,1.07,,5676
Kepler-1790 b,,0.2801,,Kepler-1790,,1.15,1.39,,6108
Kepler-1791 b,,0.27844,1021,Kepler-1791,0.0761,0.985,1.177,3.73,5887
Kepler-1792 b,,0.2248,1047,Kepler-1792,0.0488,0.825,0.7467,,4985
Kepler-1793 b,,0.3381,713,Kepler-1793,0.0787,0.91,0.9058,3.6,5300.76
Kepler-1794 c,,0.160069,703,Kepler-1794,0.0821,0.812,0.6759,14,4940
Kepler-1795 b,,0.14836,520,Kepler-1795,0.1002,0.768,0.688,5.8,4500
Kepler-1796 b,,0.2453,598,Kepler-1796,0.1879,1.15,1.02456,0.4,6103
Kepler-1797 b,,0.272792,684,Kepler-1797,0.1637,1.02,1.097,0.4,5709.57
Kepler-1798 b,,0.206006,408,Kepler-1798,0.1082,0.65,0.641,13.9,3972
Kepler-1799 b,,0.36828,770,Kepler-1799,0.1028,0.97,1.558,0.5,5540
Kepler-179 b,,0.146,,Kepler-179,0.036,,0.76,,5302
Kepler-179 c,,0.178,,Kepler-179,0.064,,0.76,,5302
Kepler-17 b,2.45,1.31,1570,Kepler-17,0.02591,1.16,1.05,1.78,5781
Kepler-1800 b,,0.0889284,1533,Kepler-1800,0.0592,0.89,0.9883,14,5211.68
Kepler-1801 b,,0.241701,829,Kepler-1801,0.0915,0.95,0.866,8.1,5455
Kepler-1801 c,,0.36212,371,Kepler-1801,0.4572,0.95,0.866,8.1,5455
Kepler-1802 Bb,,0.111,557,Kepler-1802 B,0.0653,0.649,0.637,13.9,4245
Kepler-1802 Bc,,0.168,343,Kepler-1802 B,0.1723,0.649,0.637,13.9,4245
Kepler-1804 b,,0.14239,913,Kepler-1804,0.1017,0.79,0.779,14,4869
Kepler-1805 b,,0.13784,436,Kepler-1805,0.0699,0.585,0.596,13.8,3796
Kepler-1806 b,,0.2101,729,Kepler-1806,0.0813,0.85,0.783,0.6,5078
Kepler-1807 b,,0.241228,1108,Kepler-1807,0.0988,1.27,1.646,2.95,6363.16
Kepler-1808 b,,0.26987,602,Kepler-1808,0.1467,0.96,1.028,12.1,5491
Kepler-1809 b,,0.13498,877,Kepler-1809,0.0435,0.808,0.799,7,4922.21
Kepler-180 b,,0.134,,Kepler-180,0.109,0.84,1.06,,5731
Kepler-180 c,,0.269,,Kepler-180,0.229,0.84,1.06,,5731
Kepler-1810 b,,0.34954,380,Kepler-1810,0.4137,0.95,0.933,4.5,5453.7
Kepler-1811 b,,0.3433,455,Kepler-1811,0.3462,1.02,1.21,0.4,5733
Kepler-1812 b,,0.207415,1034,Kepler-1812,0.0765,1.24,1.152,1,6317
Kepler-1813 Ab,,0.12606,1059,Kepler-1813 A,0.0364,0.812,0.787,2.3,5167
Kepler-1814 b,,0.21135,1022,Kepler-1814,0.0371,0.77,0.821,,4761
Kepler-1814 c,,0.14765,1711,Kepler-1814,0.0133,0.77,0.821,,4761
Kepler-1815 b,,0.245242,763,Kepler-1815,0.0984,1.02,0.98,13.5,5730
Kepler-1816 b,,0.17557,310,Kepler-1816,0.3648,0.803,0.75,0.7,4906
Kepler-1817 b,,0.20279,463,Kepler-1817,0.2348,0.92,0.76,0.4,5318
Kepler-1818 b,,0.152878,1209,Kepler-1818,0.055,1.07,1.289,5.4,5908
Kepler-1819 b,,0.34825,754,Kepler-1819,0.1337,1.01,1.144,0.4,5670
Kepler-181 b,,0.113,,Kepler-181,0.04,,0.75,,5333
Kepler-181 c,,0.178,,Kepler-181,0.049,,0.75,,5333
Kepler-1820 b,,0.278243,561,Kepler-1820,0.1964,0.98,1.0496,0.4,5563
Kepler-1821 b,,0.23124,644,Kepler-1821,0.1244,0.97,0.9468,0.4,5524.03
Kepler-1822 b,,0.23615,507,Kepler-1822,0.1416,0.92,0.844,0.8,5329
Kepler-1823 b,,0.1861,804,Kepler-1823,0.1528,1.19,1.207,1.88,6198
Kepler-1824 b,,0.212438,449,Kepler-1824,0.4267,1.25,1.16,0.33,6319
Kepler-1825 b,,0.12686,1520,Kepler-1825,0.0187,0.835,0.716,14.4,5021.85
Kepler-1826 b,,0.13159,806,Kepler-1826,0.0213,0.592,0.6048,13.8,3890
Kepler-1827 b,,0.16558,1329,Kepler-1827,0.0455,0.915,2.018,13.2,5387
Kepler-1828 b,,0.188769,799,Kepler-1828,0.0924,0.97,0.959,0.4,5528
Kepler-1829 b,,0.221145,860,Kepler-1829,0.0559,0.84,0.828,4.4,5055
Kepler-182 b,,0.23,,Kepler-182,0.096,1.14,1.15,,6250
Kepler-182 c,,0.306,,Kepler-182,0.157,1.14,1.15,,6250
Kepler-1830 b,,0.297076,681,Kepler-1830,0.3259,1.22,1.75,0.32,6273.82
Kepler-1831 b,,0.1758,1051,Kepler-1831,0.0655,1.03,0.948,0.3,5774
Kepler-183 b,,0.184,,Kepler-183,0.064,,0.96,,5888
Kepler-183 c,,0.203,,Kepler-183,0.103,,0.96,,5888
Kepler-184 b,,0.211,,Kepler-184,0.092,,0.87,,5788
Kepler-184 c,,0.176,,Kepler-184,0.141,,0.87,,5788
Kepler-184 d,,0.222,,Kepler-184,0.179,,0.87,,5788
Kepler-185 b,,0.104,,Kepler-185,0.026,0.79,0.81,,5208
Kepler-185 c,,0.18,,Kepler-185,0.139,0.79,0.81,,5208
Kepler-186 b,,0.095,,Kepler-186,0.0343,0.54,0.52,4,3755
Kepler-186 c,,0.112,,Kepler-186,0.0451,0.54,0.52,4,3755
Kepler-186 d,,0.125,,Kepler-186,0.0781,0.54,0.52,4,3755
Kepler-186 e,,0.113,,Kepler-186,0.11,0.54,0.52,4,3755
Kepler-186 f,,0.104,,Kepler-186,0.432,0.54,0.52,4,3755
Kepler-1876 b,0.0076,0.0761,1300,Kepler-1876,0.0758,1.19,1.48,4.4,6104
Kepler-187 b,,0.126,,Kepler-187,0.059,0.85,1.29,,6105
Kepler-187 c,,0.238,,Kepler-187,0.099,0.85,1.29,,6105
Kepler-188 b,,0.15,,Kepler-188,0.032,,1.14,,6021
Kepler-188 c,,0.285,,Kepler-188,0.066,,1.14,,6021
Kepler-189 b,,0.108,,Kepler-189,0.088,0.79,0.75,,5235
Kepler-189 c,,0.212,,Kepler-189,0.137,0.79,0.75,,5235
Kepler-18 b,0.022,0.178,,Kepler-18,0.0447,0.97,1.11,10,5345
Kepler-18 c,0.054,0.49,,Kepler-18,0.0752,0.97,1.11,10,5345
Kepler-18 d,0.052,0.623,,Kepler-18,0.1172,0.97,1.11,10,5345
Kepler-190 b,,0.139,,Kepler-190,0.03,0.84,0.8,,5106
Kepler-190 c,,0.13,,Kepler-190,0.045,0.84,0.8,,5106
Kepler-191 b,,0.12,,Kepler-191,0.087,0.85,0.79,,5282
Kepler-191 c,,0.166,,Kepler-191,0.128,0.85,0.79,,5282
Kepler-191 d,,0.203,,Kepler-191,,0.85,0.79,,5282
Kepler-1928 b,,0.17772,755,Kepler-1928,0.194,1.01,0.92,0.105,5720
Kepler-192 b,,0.244,,Kepler-192,0.09,,1.01,,5479
Kepler-192 c,,0.249,,Kepler-192,0.15,,1.01,,5479
Kepler-192 d,,0.091,,Kepler-192,,,1.01,,5479
Kepler-193 b,,0.213,,Kepler-193,0.106,,1.15,,6335
Kepler-193 c,,0.245,,Kepler-193,0.286,,1.15,,6335
Kepler-194 b,,0.135,,Kepler-194,0.032,,1.02,,6089
Kepler-194 c,,0.231,,Kepler-194,0.131,,1.02,,6089
Kepler-194 d,,0.214,,Kepler-194,0.275,,1.02,,6089
Kepler-195 b,,0.181,,Kepler-195,0.077,,0.78,,5329
Kepler-195 c,,0.138,,Kepler-195,0.197,,0.78,,5329
Kepler-1962 b,,0.10831,901,Kepler-1962,0.0783,1.03,0.87,,5766
Kepler-196 b,,0.17,,Kepler-196,0.138,,0.78,,5128
Kepler-196 c,,0.2,,Kepler-196,0.24,,0.78,,5128
Kepler-196 d,,0.2373,297,Kepler-196,0.4484,,0.78,,5128
Kepler-1970 b,2.1,,,Kepler-1970,,1.456,2.233,,5975.3
Kepler-1971 b,0.00107,0.0455,1180,Kepler-1971,0.008,0.41,0.4,3.5,3515
Kepler-1972 b,0.00636,0.07155,1392,Kepler-1972,0.0794,1.12,1.384,7.4,5818
Kepler-1972 c,0.00664,0.07744,,Kepler-1972,0.1025,1.12,1.384,7.4,5818
Kepler-1973 b,0.0544,0.384,1022,Kepler-1973,0.0504,0.928,0.818,,5295
Kepler-1973 c,0.6601,,597,Kepler-1973,0.1467,0.928,0.818,,5295
Kepler-1974 b,,0.1981,805,Kepler-1974,0.0678,0.883,0.827,,5225
Kepler-1975 Ab,,0.1998,,Kepler-1975 A,,0.76,0.79,,
Kepler-197 b,,0.091,,Kepler-197,0.06,,1.12,,6004
Kepler-197 c,0.017,0.11,,Kepler-197,0.09,,1.12,,6004
Kepler-197 d,,0.109,,Kepler-197,0.119,,1.12,,6004
Kepler-197 e,,0.081,,Kepler-197,0.164,,1.12,,6004
Kepler-198 b,,0.252,,Kepler-198,0.131,0.93,0.94,,5574
Kepler-198 c,,0.22,,Kepler-198,0.259,0.93,0.94,,5574
Kepler-198 d,,0.136,,Kepler-198,,0.93,0.94,,5574
Kepler-199 b,,0.277,,Kepler-199,0.158,,0.97,,5644
Kepler-199 c,,0.29,,Kepler-199,0.316,,0.97,,5644
Kepler-19 b,0.02643,0.198,,Kepler-19,0.085,0.94,0.86,1.9,5544
Kepler-19 c,0.04122,,,Kepler-19,,0.94,0.86,1.9,5544
Kepler-19 d,0.07079,,,Kepler-19,,0.94,0.86,1.9,5544
Kepler-2002 b,23,0.25,758,Kepler-2002,0.1357,0.91,1.2,8,5900
Kepler-200 b,,0.19,,Kepler-200,0.08,,0.94,,5678
Kepler-200 c,,0.142,,Kepler-200,0.09,,0.94,,5678
Kepler-201 b,,0.219,,Kepler-201,0.175,1.17,1.23,,6065
Kepler-201 c,,0.254,,Kepler-201,0.573,1.17,1.23,,6065
Kepler-202 b,,0.145,,Kepler-202,0.045,,0.67,,4668
Kepler-202 c,,0.165,,Kepler-202,0.113,,0.67,,4668
Kepler-203 b,,0.229,,Kepler-203,0.043,0.98,1.11,,5821
Kepler-203 c,,0.22,,Kepler-203,0.061,0.98,1.11,,5821
Kepler-203 d,,0.128,,Kepler-203,0.1,0.98,1.11,,5821
Kepler-204 b,,0.226,,Kepler-204,0.117,0.96,1.24,,5812
Kepler-204 c,,0.16,,Kepler-204,0.173,0.96,1.24,,5812
Kepler-205 b,,0.135,,Kepler-205,0.032,,0.55,,4321
Kepler-205 c,,0.146,,Kepler-205,0.122,,0.55,,4321
Kepler-206 b,,0.107,,Kepler-206,0.078,0.94,1.19,,5764
Kepler-206 c,,0.158,,Kepler-206,0.111,0.94,1.19,,5764
Kepler-206 d,,0.106,,Kepler-206,0.163,0.94,1.19,,5764
Kepler-207 b,,0.14,,Kepler-207,0.029,,1.59,,5920
Kepler-207 c,,0.134,,Kepler-207,0.044,,1.59,,5920
Kepler-207 d,,0.295,,Kepler-207,0.068,,1.59,,5920
Kepler-208 b,,0.145,,Kepler-208,0.054,1.03,1.31,,6092
Kepler-208 c,,0.124,,Kepler-208,0.079,1.03,1.31,,6092
Kepler-208 d,,0.107,,Kepler-208,0.103,1.03,1.31,,6092
Kepler-208 e,,0.132,,Kepler-208,0.132,1.03,1.31,,6092
Kepler-209 b,,0.202,,Kepler-209,0.122,,0.94,,5513
Kepler-209 c,,0.277,,Kepler-209,0.231,,0.94,,5513
Kepler-20 b,0.03052,0.167,1105,Kepler-20,0.0463,0.95,0.96,7.6,5495
Kepler-20 c,0.04012,0.272,772,Kepler-20,0.0949,0.95,0.96,7.6,5495
Kepler-20 d,0.03168,0.245,401,Kepler-20,0.3506,0.95,0.96,7.6,5495
Kepler-20 e,0.0097,0.077,,Kepler-20,0.0639,0.95,0.96,7.6,5495
Kepler-20 f,0.045,0.089,,Kepler-20,0.1396,0.95,0.96,7.6,5495
Kepler-20 g,0.0628,,524,Kepler-20,0.2055,0.95,0.96,7.6,5495
Kepler-210 b,,0.262,,Kepler-210,0.032,0.63,0.65,,4559
Kepler-210 c,,0.323,,Kepler-210,0.07,0.63,0.65,,4559
Kepler-211 b,,0.112,,Kepler-211,0.048,0.97,0.82,,5123
Kepler-211 c,,0.115,,Kepler-211,0.062,0.97,0.82,,5123
Kepler-212 b,,0.097,,Kepler-212,0.133,1.16,1.46,,5852
Kepler-212 c,,0.244,,Kepler-212,0.207,1.16,1.46,,5852
Kepler-213 b,,0.145,,Kepler-213,0.036,0.94,1.2,,5696
Kepler-213 c,,0.209,,Kepler-213,0.057,0.94,1.2,,5696
Kepler-214 b,,0.233,,Kepler-214,0.13,,1.35,,6169
Kepler-214 c,,0.19,,Kepler-214,0.194,,1.35,,6169
Kepler-215 b,,0.145,,Kepler-215,0.084,0.77,1.03,,5739
Kepler-215 c,,0.158,,Kepler-215,0.113,0.77,1.03,,5739
Kepler-215 d,,0.213,,Kepler-215,0.185,0.77,1.03,,5739
Kepler-215 e,,0.156,,Kepler-215,0.314,0.77,1.03,,5739
Kepler-216 b,,0.21,,Kepler-216,0.079,,1.26,,6091
Kepler-216 c,,0.271,,Kepler-216,0.136,,1.26,,6091
Kepler-217 b,,0.199,,Kepler-217,0.065,,1.8,,6171
Kepler-217 c,,0.165,,Kepler-217,0.089,,1.8,,6171
Kepler-217 d,,0.118,,Kepler-217,,,1.8,,6171
Kepler-218 b,,0.132,,Kepler-218,0.046,,1.06,,5502
Kepler-218 c,,0.28,,Kepler-218,0.248,,1.06,,5502
Kepler-218 d,,0.237,,Kepler-218,,,1.06,,5502
Kepler-219 b,,0.263,,Kepler-219,0.057,,1.49,,5786
Kepler-219 c,,0.319,,Kepler-219,0.165,,1.49,,5786
Kepler-219 d,,0.251,,Kepler-219,0.272,,1.49,,5786
Kepler-21 b,0.01598,0.146,2025,Kepler-21,0.042717,1.41,1.9,3.03,6305
Kepler-220 b,,0.072,,Kepler-220,0.046,,0.67,,4632
Kepler-220 c,,0.14,,Kepler-220,0.076,,0.67,,4632
Kepler-220 d,,0.087,,Kepler-220,0.163,,0.67,,4632
Kepler-220 e,,0.119,,Kepler-220,0.226,,0.67,,4632
Kepler-221 b,,0.153,,Kepler-221,0.037,0.72,0.82,,5243
Kepler-221 c,,0.261,,Kepler-221,0.059,0.72,0.82,,5243
Kepler-221 d,,0.244,,Kepler-221,0.087,0.72,0.82,,5243
Kepler-221 e,,0.235,,Kepler-221,0.13,0.72,0.82,,5243
Kepler-222 b,,0.282,,Kepler-222,0.048,,0.87,,5433
Kepler-222 c,,0.414,,Kepler-222,0.091,,0.87,,5433
Kepler-222 d,,0.329,,Kepler-222,0.18,,0.87,,5433
Kepler-223 b,0.02328,0.267,,Kepler-223,0.073,1.12,1.72,,5829
Kepler-223 c,0.01605,0.307,,Kepler-223,0.088,1.12,1.72,,5829
Kepler-223 d,0.02517,0.467,,Kepler-223,0.116,1.12,1.72,,5829
Kepler-223 e,0.0151,0.41,,Kepler-223,0.14,1.12,1.72,,5829
Kepler-224 b,,0.124,,Kepler-224,0.038,0.74,0.68,,5018
Kepler-224 c,,0.278,,Kepler-224,0.058,0.74,0.68,,5018
Kepler-224 d,,0.205,,Kepler-224,0.089,0.74,0.68,,5018
Kepler-224 e,,0.176,,Kepler-224,0.124,0.74,0.68,,5018
Kepler-225 b,,0.107,,Kepler-225,0.056,,0.48,,3682
Kepler-225 c,,0.164,,Kepler-225,0.111,,0.48,,3682
Kepler-226 b,,0.138,,Kepler-226,0.047,0.86,0.8,,5571
Kepler-226 c,,0.203,,Kepler-226,0.058,0.86,0.8,,5571
Kepler-226 d,,0.109,,Kepler-226,0.076,0.86,0.8,,5571
Kepler-227 b,,0.277,,Kepler-227,0.09,,1.09,,5854
Kepler-227 c,,0.271,,Kepler-227,0.29,,1.09,,5854
Kepler-228 b,,0.136,,Kepler-228,0.038,,1.01,,6043
Kepler-228 c,,0.241,,Kepler-228,0.052,,1.01,,6043
Kepler-228 d,,0.36,,Kepler-228,0.101,,1.01,,6043
Kepler-229 b,,0.196,,Kepler-229,0.062,,0.73,,5120
Kepler-229 c,,0.439,,Kepler-229,0.117,,0.73,,5120
Kepler-229 d,,0.343,,Kepler-229,0.22,,0.73,,5120
Kepler-22 b,0.113,0.212,262,Kepler-22,0.849,0.97,0.98,,5518
Kepler-230 b,,0.38,,Kepler-230,0.191,,0.82,,5588
Kepler-230 c,,0.182,,Kepler-230,0.38,,0.82,,5588
Kepler-231 b,,0.154,,Kepler-231,0.074,0.58,0.49,,3767
Kepler-231 c,,0.172,,Kepler-231,0.114,0.58,0.49,,3767
Kepler-232 b,,0.275,,Kepler-232,0.054,,0.97,,5847
Kepler-232 c,,0.342,,Kepler-232,0.101,,0.97,,5847
Kepler-233 b,,0.217,,Kepler-233,0.077,,0.76,,5360
Kepler-233 c,,0.242,,Kepler-233,0.287,,0.76,,5360
Kepler-234 b,,0.33,,Kepler-234,0.04,,1.11,,6224
Kepler-234 c,,0.313,,Kepler-234,0.077,,1.11,,6224
Kepler-235 b,,0.199,,Kepler-235,0.037,0.59,0.55,,4255
Kepler-235 c,,0.114,,Kepler-235,0.065,0.59,0.55,,4255
Kepler-235 d,,0.183,,Kepler-235,0.122,0.59,0.55,,4255
Kepler-235 e,,0.198,,Kepler-235,0.213,0.59,0.55,,4255
Kepler-236 b,,0.14,,Kepler-236,0.065,0.56,0.51,,3750
Kepler-236 c,,0.178,,Kepler-236,0.132,0.56,0.51,,3750
Kepler-237 b,,0.126,,Kepler-237,0.05,0.7,0.72,,4861
Kepler-237 c,,0.186,,Kepler-237,0.071,0.7,0.72,,4861
Kepler-238 b,,0.154,,Kepler-238,0.034,1.43,1.43,,5751
Kepler-238 c,,0.213,,Kepler-238,0.069,1.43,1.43,,5751
Kepler-238 d,,0.274,,Kepler-238,0.115,1.43,1.43,,5751
Kepler-238 e,0.534,0.5,,Kepler-238,,1.43,1.43,,5751
Kepler-238 f,0.042,0.178,,Kepler-238,,1.43,1.43,,5751
Kepler-239 b,,0.208,,Kepler-239,0.095,0.74,0.76,,4914
Kepler-239 c,,0.224,,Kepler-239,0.268,0.74,0.76,,4914
Kepler-23 b,0.8,0.17,,Kepler-23,0.075,1.11,1.55,,5828
